Days,Degree Celcius
0,31
1,31
2,30.62962963
3,30.25925926
4,29.88888889
5,29.51851852
6,29.14814815
7,28.77777778
8,28.40740741
9,28.03703704
10,27.66666667
11,27.2962963
12,26.92592593
13,26.55555556
14,26.18518519
15,25.81481481
16,25.44444444
17,25.07407407
18,24.7037037
19,24.33333333
20,23.96296296
21,23.59259259
22,23.22222222
23,22.85185185
24,22.48148148
25,22.11111111
26,21.74074074
27,21.37037037
28,21
29,21
30,21
31,21
32,21
33,21
34,21
35,21
36,21
